request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days. Balance today is IDR 100,845,250; the lowest projected balance is IDR 31,171,857.93 on 1 November 2025."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days. Balance today is ZAR 93,141.80; the lowest projected balance is ZAR 33,569.17 on 3 October 2026."
request_28,315.71,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,100 minimum. At most EUR 315.71 is safe to pay today from a balance of EUR 1,789.40."
request_29,34237.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected. Balance today is ZAR 113,540.10; even without this payment the lowest projected balance is ZAR 62,537.81 on 14 January 2026."
request_30,606.20,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2026. None of the available options keeps the USD 900 minimum protected. Balance today is USD 3,752.72; even without this payment the lowest projected balance is USD 1,506.20 on 5 July 2026."
request_31,3763491.17,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum. At most IDR 3,763,491.17 is safe to pay today from a balance of IDR 30,429,260."
request_32,15895.76,affordable_later,wait,2025-03-15:40018,2025-03-15,none,"Pay ZAR 40,018 in full on 15 March 2025. Paying earlier would take the balance below the ZAR 35,700 minimum. At most ZAR 15,895.76 is safe to pay today from a balance of ZAR 69,005.80."
request_33,41201.31,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Pay INR 118,000 in full on 15 February 2026. Paying earlier would take the balance below the INR 102,100 minimum. At most INR 41,201.31 is safe to pay today from a balance of INR 167,280."
request_34,113987.73,affordable_with_plan,full_payment,2024-12-04:129400,,stop:event_3084|stop:event_3085,"Stop the online backup subscription and stop the streaming subscription, then pay INR 129,400 today. This leaves at least INR 138,500 available. Balance today is INR 559,752.50; the lowest projected balance is INR 139,827.74 on 4 March 2025."
request_35,44214.47,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum. At most INR 44,214.47 is safe to pay today from a balance of INR 231,530."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 15 August 2026. Paying earlier would take the balance below the USD 2,400 minimum. At most USD 921.23 is safe to pay today from a balance of USD 3,846.60."
request_37,4606848.48,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum. At most IDR 4,606,848.48 is safe to pay today from a balance of IDR 29,125,000."
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum. At most EUR 225.42 is safe to pay today from a balance of EUR 779.40.
request_39,72065.77,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Pay INR 208,600 in full on 15 May 2026. Paying earlier would take the balance below the INR 213,400 minimum. At most INR 72,065.77 is safe to pay today from a balance of INR 416,505."
request_40,444.73,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,"Pay EUR 1,290.30 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,500 minimum. At most EUR 444.73 is safe to pay today from a balance of EUR 2,394."
request_41,11517164.78,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 15 December 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum. At most IDR 11,517,164.78 is safe to pay today from a balance of IDR 50,175,850."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days. Balance today is INR 261,765; the lowest projected balance is INR 173,965.33 on 14 January 2026."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum. At most IDR 9,868,266.98 is safe to pay today from a balance of IDR 36,640,750."
request_44,34139.10,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum. At most INR 34,139.10 is safe to pay today from a balance of INR 162,290."
request_45,5270814.54,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum. At most IDR 5,270,814.54 is safe to pay today from a balance of IDR 19,982,900."
request_46,36098.16,affordable_with_plan,partial_payment,2024-12-03:36098.16|2024-12-15:13351.84,2024-12-15,none,"Pay INR 36,098.16 today and the remaining INR 13,351.84 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected. Balance today is INR 202,335; the lowest projected balance is INR 84,000 on 14 December 2024."
request_47,14294875.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected. Balance today is IDR 112,924,150; even without this payment the lowest projected balance is IDR 44,343,875.09 on 3 August 2025."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days. Balance today is INR 188,065; the lowest projected balance is INR 93,436.80 on 14 August 2026."
request_49,12299362.64,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available. Balance today is IDR 40,504,493.34; the lowest projected balance is IDR 23,983,527.84 on 14 May 2024."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days. Balance today is INR 247,325.50; the lowest projected balance is INR 155,912.19 on 14 August 2025."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days. Balance today is IDR 35,347,700; the lowest projected balance is IDR 11,721,116.64 on 3 April 2026."
request_52,21927.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum. At most INR 21,927.86 is safe to pay today from a balance of INR 75,320."
request_53,591.26,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available. Balance today is USD 3,523.42; the lowest projected balance is USD 2,691.27 on 14 November 2025."
